remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;MAC-56FF4E;Albendazol 40mg/ml suspensão oral frasco 10ml;Albendazol;40mg/ml;suspensão oral;frasco 10ml;HPM, HPMS, UBS, IST, FM, Dispensário;;oral;ativo
23/09/2026;MAC-F056CB;Albumina Humana 200mg/ml (20%) solução injetável frasco 50ml;Albumina Humana;200mg/ml (20%);solução injetável;frasco 50ml;HPM, HPMS, EMERG;;injetável;ativo
23/09/2026;MAC-EF069F;Alcachofra (Cynara scolymus L .) 300mg cápsulas;Alcachofra (Cynara scolymus L .);300mg;cápsula;;FM;;oral;ativo
23/09/2026;MAC-F286A1;Alendronato De Sódio 70mg comprimido;Alendronato De Sódio;70mg;comprimido;;FM, Dispensário;;oral;ativo
23/09/2026;MAC-38D091;Alfaepoetina 4.000UI injetável frasco ampola 1ml;Alfaepoetina;4.000UI;injetável;frasco ampola 1ml;HPM, EMERG;;injetável;ativo
23/09/2026;MAC-33E53A;Alfapeginterferona 2A 180 mcg;Alfapeginterferona 2A;180 mcg;;;FMC;;;ativo
23/09/2026;MAC-4E4460;Alfaporactanto 80MG/ML suspensão injetável frasco ampola 3ml (alfa Poractante/ Surfactante Pulmonar);Alfaporactanto;80MG/ML;suspensão injetável;frasco ampola 3ml;HPM;;injetável;ativo
23/09/2026;MAC-D547D5;Alfentanila, cloridrato 0,544mg/ml (544mcg/ml) solução injetável ampola 5ml (port.nº 344/98 Lista A1);Alfentanila, cloridrato;0,544mg/ml;solução injetável;ampola 5ml;HPM;Notificação de Receita A (amarela) — entorpecente/psicotrópico, Portaria 344/98. Prescrição em receituário especial.;injetável;ativo
23/09/2026;MAC-B8F318;Algestona Acetofenida 150 Mg/ml + Enantato De Estradiol 10 Mg/ml;Algestona Acetofenida;150 Mg/ml;;;IST, FM, Dispensário;;;ativo
23/09/2026;MAC-7C6431;Alopurinol 100mg comprimido;Alopurinol;100mg;comprimido;;HPM, HPMS, EMERG, FM, Dispensário;;oral;ativo
23/09/2026;MAC-C76267;Alprazolam 0,5mg comprimido (Portaria nº344/98 - Lista B1);Alprazolam;0,5mg;comprimido;;HPM, HPMS, EMERG, FM;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;MAC-9A7B9F;Alprazolam 1mg comprimido (Portaria nº344/98 - Lista B1);Alprazolam;1mg;comprimido;;HPM, EMERG, FM;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;MAC-7D1FC5;Alprostadil 20mcg pó liofilizado para solução injetável ampola;Alprostadil;20mcg;pó liofilizado para solução injetável;ampola;HPM;;injetável;ativo
23/09/2026;MAC-B41F1C;Alprostadil 500mcg/ml solução injetável ampola 1ml;Alprostadil;500mcg/ml;solução injetável;ampola 1ml;HPM;;injetável;ativo
23/09/2026;MAC-0DE723;Alteplase 10mg pó liofilizado p/sol.inj f/a + diluente 50ml + canul trans;Alteplase;10mg;pó liofilizado;;HPM, EMERG;;injetável;ativo
23/09/2026;MAC-7CD0BC;Alteplase 50mg pó liofilizado p/sol.inj f/a + diluente 50ml + canul trans;Alteplase;50mg;pó liofilizado;;HPM, HPMS, EMERG;;injetável;ativo
23/09/2026;MAC-5876B6;AMBROXOL,cloridrato 3mg/ml (15mg/5ml) xarope infantil frasco 100/120ml + copo medida;AMBROXOL,cloridrato;3mg/ml;xarope;frasco 100;HPM, HPMS, EMERG, IST, FM, Dispensário;;oral;ativo
23/09/2026;MAC-7AB5D6;AMBROXOL,cloridrato 6mg/ml (30mg/5ml) xarope adulto frasco 100/120ml + copo medida;AMBROXOL,cloridrato;6mg/ml;xarope;frasco 100;HPM, HPMS, EMERG, UBS, IST, FM, Dispensário;;oral;ativo
23/09/2026;MAC-2D11F7;Amicacina, 2ml sulfato 250mg/ml solução injetável ampola;Amicacina;250mg/ml;solução injetável;ampola;HPM, HPMS, EMERG;;injetável;ativo
23/09/2026;MAC-5F9975;Aminofilina 24 mg/ml solução injetável ampola 10ml;Aminofilina;24 mg/ml;solução injetável;ampola 10ml;HPM, HPMS, EMERG;;injetável;ativo
23/09/2026;MAC-BC87C4;Amiodarona, cloridrato 150mg ou 50mg/ml solução injetável ampola 3ml;Amiodarona, cloridrato;50mg/ml;solução injetável;ampola 3ml;HPM, HPMS, EMERG, Maleta;;injetável;ativo
23/09/2026;MAC-9113F4;Amiodarona, cloridrato 200mg comprimido;Amiodarona, cloridrato;200mg;comprimido;;HPM, HPMS, EMERG, FM, Dispensário;;oral;ativo
23/09/2026;MAC-2FBABC;Amitriptilina, cloridrato 25mg comprimido revestido (port.nº 344/98 Lista C1);Amitriptilina, cloridrato;25mg;comprimido revestido;;HPM, HPMS, EMERG, FM;;oral;ativo
23/09/2026;MAC-AE062D;Amoxicilina 1g + Clavulanato 200mg pó para solução injetável f/a 10ml + diluente;Amoxicilina;1g;pó para solução injetável;;HPM, HPMS, EMERG;;injetável;ativo
23/09/2026;MAC-0F061C;Amoxicilina 250mg/5ml (50mg/ml) pó susp.oral frasco 60ml + copo medida/ser dos;Amoxicilina;250mg/5ml;pó;frasco 60ml;HPM, HPMS, EMERG, IST, FM, Dispensário;;;ativo
23/09/2026;MAC-7F7A7D;Amoxicilina 500mg + Clavulanato 125mg comprimido revestido;Amoxicilina;500mg;comprimido revestido;;HPM, HPMS, EMERG, UBS, IST, FM, Dispensário;;oral;ativo
23/09/2026;MAC-0977E8;Amoxicilina 500mg cápsula gelatinosa dura;Amoxicilina;500mg;cápsula;;HPM, HPMS, EMERG, IST, FM, Dispensário;;oral;ativo
23/09/2026;MAC-241577;Amoxicilina 50mg/ml + Clavulanato De Potássio 12,5mg/ml - pó para suspensão oral 75-100ml (250mg + 62,5mg/5ml) + copo medida;Amoxicilina;50mg/ml;pó para suspensão oral;;HPM, HPMS, EMERG, IST, FM, Dispensário;;oral;ativo
23/09/2026;MAC-1ED259;Ampicilina 1g pó liof para solução injetável f/a + ampola diluente 3-5ml;Ampicilina;1g;pó;ampola;HPM, HPMS, EMERG;;;ativo
23/09/2026;MAC-388A7B;Ampicilina, sódica + Sulbactam, sódico 3G (2,0/1,0G), pó para solução injetável Iv f/a;Ampicilina, sódica + Sulbactam, sódico;3G;pó para solução injetável;;HPM;;injetável;ativo
23/09/2026;MAC-49DD65;Anfotericina B 50mg pó liofilizado para solução injetável frasco ampola;Anfotericina B;50mg;pó liofilizado para solução injetável;frasco ampola;HPM;;injetável;ativo
23/09/2026;MAC-9C9142;Anlodipino, besilato 5mg comprimido;Anlodipino, besilato;5mg;comprimido;;HPM, HPMS, EMERG, FM, Dispensário;;oral;ativo
23/09/2026;MAC-F0AEAC;Arteméter + Lumefantrina 20 mg + 120 mg comprimido;Arteméter + Lumefantrina;20 mg + 120 mg;comprimido;;HPM;;oral;ativo
23/09/2026;MAC-BE7C2A;Artesunato + Cloridrato De Mefloquina 100 mg + 220mg comprimido;Artesunato + Cloridrato De Mefloquina;100 mg + 220mg;comprimido;;HPM;;oral;ativo
23/09/2026;MAC-5758B4;Artesunato + Cloridrato De Mefloquina 25 mg + 55 mg comprimido;Artesunato + Cloridrato De Mefloquina;25 mg + 55 mg;comprimido;;HPM;;oral;ativo
23/09/2026;MAC-92090D;Artesunato De Sódio 60 mg/mL pó para solução injetável;Artesunato De Sódio;60 mg/mL;pó para solução injetável;;HPM;;injetável;ativo
23/09/2026;MAC-E1B9D7;Atazanavir (ATV) 300mg, cápsula gelatinosa;Atazanavir (ATV);300mg;cápsula;;IST;;oral;ativo
23/09/2026;MAC-1BB89E;Atenolol 25mg comprimido;Atenolol;25mg;comprimido;;HPM, HPMS, EMERG, FM, Dispensário;;oral;ativo
23/09/2026;MAC-F1846E;Atenolol 50 mg comprimido;Atenolol;50 mg;comprimido;;HPM, HPMS, EMERG, FM, Dispensário;;oral;ativo
23/09/2026;MAC-2A1D8B;Atracúrio, 5ml besilato 10mg/ml solução injetável ampola;Atracúrio;10mg/ml;solução injetável;ampola;HPM, HPMS;;injetável;ativo
23/09/2026;MAC-05F0A1;Atropina, 1ml sulfato 0,25mg/ml solução injetável ampola;Atropina;0,25mg/ml;solução injetável;ampola;HPM, HPMS, EMERG, Maleta;;injetável;ativo
23/09/2026;MAC-0C41D0;Atropina, sulfato 10mg/ml ( 1%) solução oftálmica frasco 5ml;Atropina, sulfato;10mg/ml;solução oftálmica;frasco 5ml;HPM;;oftálmica;ativo
23/09/2026;MAC-AE0F5D;Azatioprina 50mg comprimido revestido;Azatioprina;50mg;comprimido revestido;;HPM;;oral;ativo
23/09/2026;MAC-7757C3;Azitromicina 500mg comprimido revestido;Azitromicina;500mg;comprimido revestido;;HPM, HPMS, EMERG, UBS, IST, FM, Dispensário;;oral;ativo
23/09/2026;MAC-5960D4;Azitromicina 600mg (40mg/ml ou 200mg/5ml) pó para susp oral frasco 15ml + seringa dosadora;Azitromicina;40mg/ml;pó;frasco 15ml;HPM, HPMS, EMERG, IST, FM, Dispensário;;;ativo
23/09/2026;MAC-721016;Babosa (Aloe vera(L.) Burm.f .) 3% creme bisnaga 50g;Babosa (Aloe vera(L.) Burm.f .);3%;creme;bisnaga 50g;FM;;tópica;ativo
23/09/2026;MAC-A3F0AC;Baclofeno 10mg comprimido;Baclofeno;10mg;comprimido;;HPM;;oral;ativo
23/09/2026;MAC-4E058D;Beclometasona, dipropionato 200 mcg/dose sol.aerosol spray + dispositivo oral / frasco 200 doses;Beclometasona, dipropionato;200 mcg/dose;aerossol;frasco 200 doses;HPM, HPMS, EMERG, UBS, FM, Dispensário;;inalatória;ativo
23/09/2026;MAC-8305DE;Beclometasona, dipropionato 50 mcg/dose sol.aerosol + dispositivo oral / frasco 200 doses;Beclometasona, dipropionato;50 mcg/dose;aerossol;frasco 200 doses;HPM, HPMS, EMERG, FM, Dispensário;;inalatória;ativo
23/09/2026;MAC-5A4690;Benzilpenicilina Benzatina 1.200.000 Ui pó para suspensão injetável f/a + diluente 4ml ou 300.000 UI/ml susp injetável f/a 4ml;Benzilpenicilina Benzatina;1.200.000 Ui;pó para suspensão injetável;;HPM, HPMS, EMERG, IST;;injetável;ativo
23/09/2026;MAC-7396BD;Benzilpenicilina Benzatina 600.000 Ui pó para suspensão injetável f/a + diluente 4ml ou 150.000 UI/ml susp injetável f/a 4ml;Benzilpenicilina Benzatina;600.000 Ui;pó para suspensão injetável;;HPM, HPMS, EMERG;;injetável;ativo
23/09/2026;MAC-07A657;Benzilpenicilina Potássica 5.000.000 Ui pó para solução injetável f/a;Benzilpenicilina Potássica;5.000.000 Ui;pó para solução injetável;;HPM, HPMS, EMERG;;injetável;ativo
23/09/2026;MAC-727F24;Benzilpenicilina Procaína 300.000UI + Benzilp. Potássica 100.000UI (400.000 Ui) pó para suspensão injetável f/a + diluente;Benzilpenicilina Procaína;300.000UI;pó para suspensão injetável;;HPM, HPMS, EMERG;;injetável;ativo
23/09/2026;MAC-192F30;Betametasona, acetato 3mg/ml + Betametasona, fosfato dissodico 3mg/ml suspensão injetável ampola 1ml;Betametasona, acetato;3mg/ml;suspensão injetável;ampola 1ml;HPM;;injetável;ativo
23/09/2026;MAC-AAFB37;Bicarbonato De Sódio 84mg/ml (8,4%) solução injetável ampola 10ml;Bicarbonato De Sódio;84mg/ml (8,4%);solução injetável;ampola 10ml;HPM, HPMS, EMERG;;injetável;ativo
23/09/2026;MAC-D86E35;Bicarbonato De Sódio 84mg/ml (8,4%) solução injetável bolsa/ frasco sistema fechado 250ml;Bicarbonato De Sódio;84mg/ml (8,4%);solução injetável;frasco;HPM, HPMS, EMERG, Maleta;;injetável;ativo
23/09/2026;MAC-520632;Biperideno, cloridrato 2mg comprimido (port.nº 344/98 Lista C1);Biperideno, cloridrato;2mg;comprimido;;HPM, HPMS, EMERG, FM;;oral;ativo
23/09/2026;MAC-791FA5;Bisacodil 5mg comprimido revestido;Bisacodil;5mg;comprimido revestido;;HPM, HPMS, EMERG, FMC;;oral;ativo
23/09/2026;MAC-7A23DF;Bromazepam 3mg comprimido (port.nº 344/98 Lista B1);Bromazepam;3mg;comprimido;;HPM, HPMS, EMERG, FM;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;MAC-7FA5BC;Bromazepam 6mg comprimido (port.nº 344/98 Lista B1);Bromazepam;6mg;comprimido;;HPM, HPMS, FM;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;MAC-CF6C04;Bromoprida 4mg/ml solução oral frasco 20ml;Bromoprida;4mg/ml;solução oral;frasco 20ml;HPM, HPMS, EMERG, IST, FM, Dispensário;;oral;ativo
23/09/2026;MAC-B99B2E;Bromoprida 5mg/ml solução injetável ampola 2ml;Bromoprida;5mg/ml;solução injetável;ampola 2ml;HPM, HPMS, EMERG, CEM;;injetável;ativo
23/09/2026;MAC-CC82C3;Budesonida 200 doses 50mcg/dose sus/aerossol nasal frasco;Budesonida 200 doses;50mcg/dose;aerossol;frasco;HPM, HPMS, EMERG, UBS, IST, FM, Dispensário;;inalatória;ativo
23/09/2026;MAC-903D7B;Bupivacaína, cloridrato 5mg/ml (0,5% ou 0,50 Pcc) + Glicose 80mg/ml solução injetável ampola 4ml;Bupivacaína, cloridrato;5mg/ml;solução injetável;ampola 4ml;HPM, HPMS;;injetável;ativo
23/09/2026;MAC-3A0366;Bupivacaína, cloridrato 5mg/ml (0,5% ou 0,50 Pcc) solução injetável ampola 4ml;Bupivacaína, cloridrato;5mg/ml;solução injetável;ampola 4ml;HPM, HPMS;;injetável;ativo
23/09/2026;MAC-D80382;Bupivacaína, cloridrato 5mg/ml (0,5% ou 0,50 Pcc) solução injetável frasco ampola 20ml;Bupivacaína, cloridrato;5mg/ml;solução injetável;frasco ampola 20ml;HPM, HPMS;;injetável;ativo
23/09/2026;MAC-0918ED;Bupivacaína, cloridrato 5mg/ml (0,5% ou 0,50 Pcc) solução injetável frasco ampola 20ml - Com Vasoconstritor/ Hemitartarato de Epinefrina;Bupivacaína, cloridrato;5mg/ml;solução injetável;frasco ampola 20ml;HPM, HPMS;;injetável;ativo
23/09/2026;MAC-48AEF5;Bupropiona 150mg comprimido (port.nº 344/98 Lista C1);Bupropiona;150mg;comprimido;;FMC;;oral;ativo
23/09/2026;MAC-FB3833;Cabergolina 0,5mg comprimido;Cabergolina;0,5mg;comprimido;;HPM, IST;;oral;ativo
23/09/2026;MAC-4C1FB4;Cafeína, citrato 20 mg/ml solução injetável ampola 1ml;Cafeína, citrato;20 mg/ml;solução injetável;ampola 1ml;HPM;;injetável;ativo
23/09/2026;MAC-E49A0D;Cal Sodada em galão de 4,3 Kg;Cal Sodada em galão de;4,3 Kg;;galão;HPM, HPMS;;;ativo
23/09/2026;MAC-92F931;Captopril 25mg comprimido;Captopril;25mg;comprimido;;HPM, HPMS, EMERG, FM, Dispensário, Maleta;;oral;ativo
23/09/2026;MAC-EF0C2E;Carbamazepina 200mg comprimido (port.nº 344/98 Lista C1);Carbamazepina;200mg;comprimido;;HPM, HPMS, EMERG, FM;;oral;ativo
23/09/2026;MAC-84314F;Carbamazepina 20mg/ml suspensão oral frasco 100ml + copo medida (port.nº 344/98 Lista C1);Carbamazepina;20mg/ml;suspensão oral;frasco 100ml;HPM, HPMS, EMERG, FM;;oral;ativo
23/09/2026;MAC-1559B9;Carbonato De Cálcio 500mg comprimido revestido (1.250mg equivalente a 500mg de cálcio);Carbonato De Cálcio;500mg;comprimido revestido;;HPM, HPMS, EMERG, FM, Dispensário;;oral;ativo
23/09/2026;MAC-2F3543;Carbonato De Cálcio 600mg + Colecalciferol 400UI comprimido revestido;Carbonato De Cálcio;600mg;comprimido revestido;;FM, Dispensário;;oral;ativo
23/09/2026;MAC-E237BD;Carbonato De Lítio 300mg comprimido (port.nº 344/98 Lista C1);Carbonato De Lítio;300mg;comprimido;;HPM, HPMS, EMERG, FM;;oral;ativo
23/09/2026;MAC-60DAA4;Carvedilol 25mg comprimido;Carvedilol;25mg;comprimido;;HPM, HPMS, EMERG, FM, Dispensário;;oral;ativo
23/09/2026;MAC-ED489C;Carvedilol 3,125 comprimido;Carvedilol;3,125;comprimido;;HPM, HPMS, EMERG, FM, Dispensário;;oral;ativo
23/09/2026;MAC-CD99CC;Carvedilol 6,25mg comprimido;Carvedilol;6,25mg;comprimido;;HPM, HPMS, EMERG, FM, Dispensário;;oral;ativo
23/09/2026;MAC-8B1554;Carvão Vegetal Ativado 250mg cápsulas ou comprimido;Carvão Vegetal Ativado;250mg;cápsula;;HPM, HPMS, EMERG;;oral;ativo
23/09/2026;MAC-F013E2;Cefalexina 250mg/5ml (50mg/ml) pó para susp.oral frasco 60ml + copo/ser dosador;Cefalexina;250mg/5ml;pó;frasco 60ml;HPM, HPMS, EMERG, IST, FM, Dispensário;;;ativo
23/09/2026;MAC-CF7846;Cefalexina 500mg cápsula ou comprimido revestido;Cefalexina;500mg;cápsula;;HPM, HPMS, EMERG, UBS, IST, FM, Dispensário;;oral;ativo
23/09/2026;MAC-8B054C;Cefazolina, ampola sódica 1G pó para solução injetável frasco;Cefazolina, ampola sódica;1G;pó para solução injetável;ampola;HPM, HPMS;;injetável;ativo
23/09/2026;MAC-BD0B78;Cefepima, cloridrato 1 G pó para solução injetável Iv F/a + diluente;Cefepima, cloridrato;1 G;pó para solução injetável;;HPM, HPMS, EMERG;;injetável;ativo
23/09/2026;MAC-1438E7;Ceftazidima 1 G pó para solução injetável Im/iv f/a \+ diluente 10ml;Ceftazidima;1 G;pó para solução injetável;;HPM, HPMS, EMERG;;injetável;ativo
23/09/2026;MAC-3E02D0;Ceftriaxona 1 G pó para solução injetável Im f/a + ampola diluente (lidocaína 1%);Ceftriaxona;1%;pó para solução injetável;ampola;HPM, HPMS, EMERG, UBS;;injetável;ativo
23/09/2026;MAC-B49040;Ceftriaxona 1 G pó para solução injetável Iv f/a + diluente 10ml;Ceftriaxona;1 G;pó para solução injetável;;HPM, HPMS, EMERG;;injetável;ativo
23/09/2026;MAC-0E7788;Cefuroxima sódica 750mg pó para solução injetável;Cefuroxima sódica;750mg;pó para solução injetável;;HPM;;injetável;ativo
23/09/2026;MAC-BB8E69;Cetoconazol 2% (20mg/ml) shampoo frasco 100ml;Cetoconazol;2%;shampoo;frasco 100ml;IST, FM, Dispensário;;tópica;ativo
23/09/2026;MAC-13849A;Cetoconazol 200mg comprimido;Cetoconazol;200mg;comprimido;;HPM, HPMS, EMERG, IST, FM, Dispensário;;oral;ativo
23/09/2026;MAC-BF541C;Cetoconazol bisnaga 30g 2% (20mg/g) creme dermatológico;Cetoconazol bisnaga;2%;creme dermatológico;bisnaga 30g;HPM, HPMS, EMERG, IST, FM, Dispensário;;tópica;ativo
23/09/2026;MAC-519437;Cetoprofeno 100mg pó para solução injetável Iv f/a;Cetoprofeno;100mg;pó para solução injetável;;HPM, HPMS, EMERG;;injetável;ativo
23/09/2026;MAC-580F69;Cetoprofeno 2ml 50mg/ml solução injetável Im ampola;Cetoprofeno;50mg/ml;solução injetável;ampola;HPM, HPMS, EMERG;;injetável;ativo
23/09/2026;MAC-D76ABF;Ciclopentolato, cloridrato 10mg/ml solução oftálmica frasco 5ml (port.nº 344/98 Lista C1);Ciclopentolato, cloridrato;10mg/ml;solução oftálmica;frasco 5ml;HPM, CEM;;oftálmica;ativo
23/09/2026;MAC-134E5A;Cilostazol 100mg comprimido;Cilostazol;100mg;comprimido;;HPM, HPMS, EMERG;;oral;ativo
23/09/2026;MAC-71EB75;Cinarizina 25mg comprimido;Cinarizina;25mg;comprimido;;FM, Dispensário;;oral;ativo
23/09/2026;MAC-565793;Cinarizina 75mg comprimido;Cinarizina;75mg;comprimido;;HPM, HPMS, EMERG, FM, Dispensário;;oral;ativo
23/09/2026;MAC-C16C5C;Ciprofibrato 100mg comprimido;Ciprofibrato;100mg;comprimido;;HPM, HPMS, EMERG, FM, Dispensário;;oral;ativo
23/09/2026;MAC-81B9CE;Ciprofloxacino, cloridrato 2mg/ml (0,2%) solução injetável Iv frasco/bolsa sistema fechado 100ml;Ciprofloxacino, cloridrato;2mg/ml (0,2%);solução injetável;frasco;HPM, HPMS, EMERG;;injetável;ativo
23/09/2026;MAC-791B54;Ciprofloxacino, cloridrato 500mg comprimido revestido;Ciprofloxacino, cloridrato;500mg;comprimido revestido;;HPM, HPMS, EMERG, FM, UBS, Dispensário;;oral;ativo
23/09/2026;MAC-9F82F7;Cisatracúrio, besilato 2mg/ml solução injetável ampola 5ml;Cisatracúrio, besilato;2mg/ml;solução injetável;ampola 5ml;HPM, HPMS;;injetável;ativo
23/09/2026;MAC-6EFF79;Claritromicina 500mg comprimido revestido;Claritromicina;500mg;comprimido revestido;;HPM, HPMS, EMERG, IST, FM, Dispensário;;oral;ativo
23/09/2026;MAC-BF94A5;Claritromicina 50mg/ml gran p/suspensão oral frasco 60ml + seringa dosadora;Claritromicina;50mg/ml;suspensão oral;frasco 60ml;HPM, HPMS, EMERG, IST, FM, Dispensário;;oral;ativo
23/09/2026;MAC-B685F1;Claritromicina pó liof para solução injetável f/a 500mg;Claritromicina;500mg;pó;;HPM, HPMS, EMERG;;;ativo
23/09/2026;MAC-78EC6D;Clindamicina 150mg/ml solução injetável ampola 4ml;Clindamicina;150mg/ml;solução injetável;ampola 4ml;HPM, HPMS, EMERG;;injetável;ativo
23/09/2026;MAC-9A3CD3;Clindamicina, cloridrato 300 mg cápsula gel dura;Clindamicina, cloridrato;300 mg;cápsula;;HPM, HPMS, EMERG UBS, IST, FM, Dispensário;;oral;ativo
23/09/2026;MAC-F4CEAF;Clobazam 10mg comprimido (port.nº 344/98 Lista B1).;Clobazam;10mg;comprimido;;HPM;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;MAC-D1B4D6;Clofazimina 100 mg cápsula;Clofazimina;100 mg;cápsula;;PROG.CESAF;;oral;ativo
23/09/2026;MAC-4EFCC4;Clofazimina 50 mg cápsula;Clofazimina;50 mg;cápsula;;PROG.CESAF;;oral;ativo
23/09/2026;MAC-C4F81C;Clomipramina, cloridrato 25mg drágea ou comprimido revestido (port.nº 344/98 Lista C1);Clomipramina, cloridrato;25mg;drágea;;HPM, HPMS, EMERG, FM;;oral;ativo
23/09/2026;MAC-D0046B;Clonazepam 0,5mg comprimido (port.nº 344/98 Lista B1);Clonazepam;0,5mg;comprimido;;HPM, HPMS, EMERG, FM;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;MAC-DA90F7;Clonazepam 2,5 mg/ml solução oral frasco 20ml (port.nº 344/98 Lista B1);Clonazepam;2,5 mg/ml;solução oral;frasco 20ml;FM;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;MAC-00353C;Clonazepam 2mg comprimido (port.nº 344/98 Lista B1);Clonazepam;2mg;comprimido;;HPM, HPMS, EMERG, FM;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;MAC-4F73DD;Clonidina, cloridrato 150mcg/ml (0,15mg/ml) solução injetável ampola 1ml;Clonidina, cloridrato;150mcg/ml;solução injetável;ampola 1ml;HPM;;injetável;ativo
23/09/2026;MAC-702F4B;Clopidogrel, bissulfato 75mg comprimido revestido;Clopidogrel, bissulfato;75mg;comprimido revestido;;HPM, HPMS, EMERG, Maleta;;oral;ativo
23/09/2026;MAC-72FC6A;Cloreto De Potássio 10% solução injetável ampola 10ml (1,3mEq/ml, 100mg/ml, 10g/100ml ou 1g/10ml);Cloreto De Potássio;10%;solução injetável;ampola 10ml;HPM, HPMS, EMERG, Maleta;;injetável;ativo
23/09/2026;MAC-2D5BCD;Cloreto De Potássio 60 mg/ml (6%) xarope frasco/ solução oral frasco 150ml;Cloreto De Potássio;60 mg/ml (6%);xarope;frasco;HPM, HPMS, EMERG;;oral;ativo
23/09/2026;MAC-284F04;Cloreto De Sódio 0,9% solução injetável ampola plástica 10ml (0,009g/ml, 9mg/ml);Cloreto De Sódio;0,9%;solução injetável;ampola;HPM, HPMS, EMERG;;injetável;ativo
23/09/2026;MAC-07E2C1;Cloreto De Sódio 0,9% solução injetável bolsa plástica sistema fechado 1000ml (0,009g/ml ou 9mg/ml);Cloreto De Sódio;0,9%;solução injetável;bolsa;HPM;;injetável;ativo
23/09/2026;MAC-5E68B2;Cloreto De Sódio 0,9% solução injetável bolsa plástica sistema fechado 100ml (0,009g/ml ou 9mg/ml);Cloreto De Sódio;0,9%;solução injetável;bolsa;HPM, HPMS, EMERG;;injetável;ativo
23/09/2026;MAC-279C26;Cloreto De Sódio 0,9% solução injetável bolsa plástica sistema fechado 250ml (0,009g/ml ou 9mg/ml);Cloreto De Sódio;0,9%;solução injetável;bolsa;HPM, HPMS, EMERG, UBS;;injetável;ativo
23/09/2026;MAC-499CF2;Cloreto De Sódio 0,9%solução injetável bolsa plástica sistema fechado 500ml (0,009g/ml ou 9mg/ml);Cloreto De Sódio;0,9%;solução injetável;bolsa;HPM, HPMS, EMERG, Maleta;;injetável;ativo
23/09/2026;MAC-661A17;Cloreto De Sódio 20% solução injetável ampola plástica 10ml (200mg/ml);Cloreto De Sódio;20%;solução injetável;ampola;HPM, HPMS, EMERG, Maleta;;injetável;ativo
23/09/2026;MAC-E48AF4;"Cloreto De Sódio; Hetamido 6% (Amido Hidroxietílico) 60 mg/ml solução injetável Iv bolsa Plástica Sistema Fechado 500ml";"Cloreto De Sódio; Hetamido";6%;solução injetável;bolsa;HPM, HPMS, EMERG;;injetável;ativo
